"","What.age.group.do.you.fall.into.","What.platforms.are.you.using.for.development.","year"
"89","40-50","Linux","2018"
"90","30-40","Windows;Linux","2018"
"91","40-50","Linux","2018"
"92","40-50","Linux","2018"
"93","18-30","Mac","2018"
"94","50-60","Linux;Mac","2018"
"95","18-30","Linux","2018"
"96","50-60","Linux;Mac","2018"
"97","40-50","Linux;Mac","2018"
"98","18-30","Windows;Linux","2018"
"99","18-30","Linux","2018"
"100","18-30","Linux","2018"
"101","50-60","Linux","2018"
"102","18-30","Linux","2018"
"103","50-60","Windows;Linux;Mac;Solaris, AIX","2018"
"104","18-30","Linux","2018"
"105","40-50","Linux","2018"
"106","40-50","Windows;Linux;Mac","2018"
"107","50-60","Linux;Mac","2018"
"108","30-40","Windows;Linux;Mac","2018"
"109",">60","Linux","2018"
"110",">60","Linux","2018"
"111","30-40","Linux","2018"
"112","40-50","Linux;Mac","2018"
"113","40-50","Windows","2018"
"114","18-30","Linux","2018"
"115","18-30","Linux","2018"
"116","40-50","Linux;Mac","2018"
"117","50-60","Linux;Mac","2018"
"118","30-40","Linux;Mac","2018"
"119","30-40","Linux","2018"
"120","40-50","Linux","2018"
"121","18-30","Mac","2018"
"122","50-60","Windows;Linux","2018"
"123","30-40","Linux","2018"
"124","30-40","Linux;Mac","2018"
"125","40-50","Linux;*BSD","2018"
"126","30-40","Mac;*BSD","2018"
"127","40-50","Linux","2018"
"128","40-50","Linux","2018"
"129",">60","Linux","2018"
"130","40-50","Windows;Linux;Mac","2018"
"131",">60","Linux","2018"
"132","50-60","Linux","2018"
"133","40-50","Linux;Mac","2018"
"134","50-60","Mac","2018"
"135","30-40","Linux","2018"
"136","40-50","Windows;Linux;Mac","2018"
"137","50-60","Linux","2018"
"138","30-40","Linux;Mac","2018"
"139","30-40","*BSD","2018"
"140","40-50","Windows;Mac;*BSD","2018"
"141","40-50","Windows;Linux","2018"
"142","18-30","Linux;Mac","2018"
"143","50-60","Linux","2018"
"144","40-50","Linux","2018"
"145","40-50","Windows;Linux","2018"
"146","30-40","Linux","2018"
"147","50-60","Windows;Linux;*BSD","2018"
"148","30-40","Linux","2018"
"149","50-60","Linux;HP-UX, AIX","2018"
"150","30-40","Windows;Linux","2018"
"151","40-50","Linux","2018"
"152","18-30","Windows;Linux","2018"
"153","18-30","Windows;Linux","2018"
"154","50-60","Mac","2018"
"155","30-40","Linux","2018"
"156","30-40","Linux","2018"
"157","18-30","Windows;Linux","2018"
"158","18-30","Windows","2018"
"159","50-60","*BSD","2018"
"160","18-30","Linux","2018"
"161","30-40","Linux","2018"
"162","40-50","Linux","2018"
"163","30-40","Linux","2018"
"164","30-40","Linux","2018"
"165",">60","Linux","2018"
"166","40-50","Linux","2018"
"167","30-40","Linux;Mac","2018"
"168","30-40","Linux","2018"
"169","30-40","Linux","2018"
"170","30-40","Linux","2018"
"171",">60","Windows","2018"
"172","50-60","Linux","2018"
"173","50-60","Linux;Mac","2018"
"174","40-50","Linux","2018"
"175","40-50","Linux","2018"
"176","40-50","Windows;Linux","2018"
"177","30-40","Linux","2018"
"178","40-50","Linux","2018"
"179","18-30","Linux","2018"
"180",">60","by","2018"
"181","18-30","Linux","2018"
"182","50-60","Linux","2018"
"183","30-40","Linux","2018"
"184","40-50","Linux","2018"
"185","30-40","Linux;Mac","2018"
"186","30-40","Linux","2018"
"187","18-30","Mac;*BSD","2018"
"188","40-50","Linux;*BSD","2018"
"189","18-30","Linux;Mac","2018"
"190","40-50","Linux","2018"
"191","<18","Windows;*BSD","2018"
"192","50-60","Mac","2018"
"193","18-30","Linux","2018"
"194","30-40","Linux","2018"
"195","40-50","Linux","2018"
"196","18-30","Linux;Mac","2018"
"197","50-60","Linux","2018"
"198","18-30","Windows;Linux","2018"
"199","40-50","Linux","2018"
"200","40-50","Linux","2018"
"201","30-40","Linux","2018"
"202","30-40","Windows;Linux","2018"
"203","18-30","Windows;Linux","2018"
"204","30-40","Linux","2018"
"205","18-30","Mac","2018"
"206","30-40","Windows;Linux","2018"
"207","40-50","Linux;*BSD","2018"
"208","50-60","Mac","2018"
"209","30-40","Linux","2018"
"210","30-40","Windows","2018"
"211","18-30","Linux","2018"
"212","18-30","Linux","2018"
"213","30-40","Linux","2018"
"214","18-30","Linux","2018"
"215","18-30","Windows;Mac","2018"
"216","40-50","Windows","2018"
"217","50-60","Linux;Mac","2018"
"218","30-40","Mac","2018"
"219","18-30","Mac","2018"
"220","30-40","Linux","2018"
"221","18-30","GNU/Linux","2019"
"222","40-50","GNU/Linux","2019"
"223","30-40","GNU/Linux","2019"
"224","50-60","GNU/Linux","2019"
"225","40-50","Windows, GNU/Linux, Mac","2019"
"226","30-40","GNU/Linux, Mac","2019"
"227","50-60","GNU/Linux","2019"
"228","30-40","GNU/Linux","2019"
"229","50-60","GNU/Linux","2019"
"230","40-50","GNU/Linux","2019"
"231","40-50","GNU/Linux, Mac","2019"
"232","30-40","Mac","2019"
"233","18-30","GNU/Linux","2019"
"234","30-40","Mac","2019"
"235","30-40","Windows, GNU/Linux","2019"
"236","40-50","Windows","2019"
"237","30-40","GNU/Linux","2019"
"238","40-50","GNU/Linux","2019"
"239","40-50","GNU/Linux","2019"
"240",">60","Mac","2019"
"241","40-50","GNU/Linux, *BSD","2019"
"242","30-40","GNU/Linux","2019"
"243","30-40","GNU/Linux","2019"
"244","50-60","GNU/Linux","2019"
"245","30-40","GNU/Linux, *BSD","2019"
"246","18-30","GNU/Linux","2019"
"247","18-30","GNU/Linux, Mac, *BSD","2019"
"248","50-60","GNU/Linux","2019"
"249","30-40","GNU/Linux","2019"
"250","40-50","GNU/Linux","2019"
"251","40-50","Windows, GNU/Linux, Mac","2019"
"252","30-40","GNU/Linux","2019"
"253","40-50","GNU/Linux","2019"
"254","18-30","Windows, GNU/Linux","2019"
"255","40-50","GNU/Linux, Mac, *BSD","2019"
"256","30-40","GNU/Linux","2019"
"257","30-40","GNU/Linux","2019"
"258","30-40","Windows, GNU/Linux","2019"
"259",">60","GNU/Linux","2019"
"260","40-50","GNU/Linux","2019"
"261","50-60","Windows, GNU/Linux, Mac","2019"
"262","30-40","GNU/Linux","2019"
"263","18-30","GNU/Linux","2019"
"264","30-40","GNU/Linux","2019"
"265","18-30","GNU/Linux","2019"
"266","40-50","GNU/Linux, Mac","2019"
"267","40-50","Mac","2019"
"268","18-30","GNU/Linux","2019"
"269",">60","GNU/Linux","2019"
"270","30-40","Windows, GNU/Linux","2019"
"271","30-40","GNU/Linux","2019"
"272","30-40","GNU/Linux","2019"
"273","18-30","GNU/Linux","2019"
"274","18-30","Windows, GNU/Linux","2019"
"275","18-30","GNU/Linux, *BSD","2019"
"276","50-60","GNU/Linux, *BSD","2019"
"277","30-40","GNU/Linux","2019"
"278","40-50","Windows, GNU/Linux","2019"
"279","30-40","GNU/Linux","2019"
"280","40-50","GNU/Linux","2019"
"281","40-50","GNU/Linux","2019"
"282",">60","GNU/Linux","2019"
"283",">60","Windows, GNU/Linux","2019"
"284",">60","GNU/Linux","2019"
"285","30-40","GNU/Linux","2019"
"286","40-50","GNU/Linux","2019"
"287","30-40","GNU/Linux","2019"
"288","18-30","GNU/Linux","2019"
"289","30-40","GNU/Linux","2019"
"290","30-40","Windows, GNU/Linux","2019"
"291","18-30","Windows, GNU/Linux","2019"
"292",">60","GNU/Linux","2019"
"293","30-40","GNU/Linux","2019"
"294","50-60","GNU/Linux","2019"
"295","50-60","GNU/Linux","2019"
"296","40-50","Windows, GNU/Linux","2019"
"297","18-30","GNU/Linux","2019"
"298","50-60","GNU/Linux","2019"
"299","40-50","GNU/Linux","2019"
"300","30-40","GNU/Linux","2019"
"301","40-50","GNU/Linux","2019"
"302","30-40","GNU/Linux","2019"
"303","30-40","Windows, GNU/Linux","2019"
"304","30-40","GNU/Linux","2019"
"305","18-30","Windows, GNU/Linux","2019"
"306","30-40","GNU/Linux, Mac","2019"
"307","50-60","GNU/Linux","2019"
"308","30-40","GNU/Linux","2019"
"309","30-40","GNU/Linux","2019"
"310","30-40","GNU/Linux, Mac","2019"
"311","18-30","GNU/Linux","2019"
"312","18-30","GNU/Linux","2019"
"313",">60","GNU/Linux","2019"
"314","40-50","GNU/Linux, *BSD","2019"
"315","18-30","GNU/Linux","2019"
"316",">60","GNU/Linux","2019"
"317","50-60","Windows, GNU/Linux","2019"
"318","40-50","GNU/Linux","2019"
"319","50-60","GNU/Linux","2019"
"320","30-40","GNU/Linux","2019"
"321","30-40","GNU/Linux","2019"
"322","50-60","GNU/Linux","2019"
"323","40-50","GNU/Linux, Mac","2019"
"324",">60","GNU/Linux, Mac","2019"
"325","40-50","GNU/Linux","2019"
"326","50-60","GNU/Linux, Mac","2019"
"327","40-50","Mac","2019"
"328","50-60","Windows","2019"
"329","18-30","GNU/Linux, cygwin","2019"
"330","50-60","GNU/Linux, Mac","2019"
"331","30-40","GNU/Linux, Mac","2019"
"332","40-50","GNU/Linux","2019"
"333","30-40","GNU/Linux, Mac","2019"
"334",">60","GNU/Linux","2019"
"335","18-30","GNU/Linux","2019"
"336","18-30","GNU/Linux","2019"
"337","40-50","GNU/Linux, Mac","2019"
"338","30-40","GNU/Linux","2019"
"339","40-50","GNU/Linux","2019"
"340",">60","Mac","2019"
"341","30-40","Windows, GNU/Linux, Mac","2019"
"342","30-40","GNU/Linux","2019"
"343","40-50","Windows, GNU/Linux, Mac","2019"
"344","50-60","GNU/Linux","2019"
"345","30-40","GNU/Linux, Mac","2019"
"346","40-50","Mac","2019"
"347","30-40","GNU/Linux","2019"
"348","18-30","Windows, Mac","2019"
"349","40-50","Windows, *BSD, virtual machine: FreeBSD guest on Window host","2019"
"350","18-30","GNU/Linux","2019"
"351","30-40","Windows","2019"
"352","40-50","Windows, GNU/Linux","2019"
"353","40-50","GNU/Linux, Mac","2019"
"354","30-40","GNU/Linux, *BSD","2019"
"355","40-50","GNU/Linux","2019"
"356","40-50","GNU/Linux","2019"
"357","40-50","Windows, GNU/Linux","2019"
"358","40-50","Windows, GNU/Linux","2019"
"359","50-60","GNU/Linux","2019"
"360",">60","GNU/Linux, Mac, *BSD","2019"
"361","40-50","GNU/Linux, Mac","2019"
"362",">60","GNU/Linux","2019"
"363","30-40","GNU/Linux, Mac","2019"
"364","50-60","GNU/Linux","2019"
"365","40-50","Mac","2019"
"366","50-60","GNU/Linux, Mac","2019"
"367","30-40","GNU/Linux, Mac","2019"
"368","50-60","GNU/Linux, Mac","2019"
"369","30-40","GNU/Linux","2019"
"370","30-40","GNU/Linux, Mac","2019"
"371",">60","Mac, *BSD","2019"
"372","18-30","GNU/Linux","2019"
"373","40-50","Windows, GNU/Linux","2019"
"374","40-50","*BSD","2019"
"375","30-40","GNU/Linux","2019"
"376","40-50","GNU/Linux","2019"
"377","40-50","GNU/Linux","2019"
"378","40-50","GNU/Linux","2019"
"379","50-60","Windows, GNU/Linux, Mac","2019"
"380","40-50","GNU/Linux","2019"
"381","40-50","GNU/Linux, Mac","2019"
"382","30-40","GNU/Linux","2019"
"383","40-50","Windows, GNU/Linux, Mac, *BSD","2019"
"384","30-40","GNU/Linux","2019"
"385","30-40","GNU/Linux, Mac","2019"
"386","18-30","Windows, GNU/Linux","2019"
"387","30-40","GNU/Linux","2019"
"388",">60","Mac","2019"
"389","40-50","GNU/Linux","2019"
"390","30-40","GNU/Linux","2019"
"391","18-30","GNU/Linux","2019"
"392","30-40","GNU/Linux","2019"
"393","40-50","GNU/Linux, Mac","2019"
"394","18-30","Windows, GNU/Linux, Mac","2019"
"395","18-30","GNU/Linux","2019"
"396","30-40","Windows, GNU/Linux","2019"
"397","40-50","GNU/Linux","2019"
"398","40-50","Mac","2019"
"399","50-60","GNU/Linux","2019"
"400","50-60","GNU/Linux","2019"
"401","40-50","GNU/Linux","2019"
"402","40-50","GNU/Linux, *BSD","2019"
"403","18-30","GNU/Linux, Mac","2019"
"404","40-50","Windows, GNU/Linux, Mac, *BSD","2019"
"405","18-30","GNU/Linux","2019"
"406","18-30","*BSD","2019"
"407","40-50","Windows, GNU/Linux, Mac","2019"
"408","30-40","Mac","2019"
"409",">60","GNU/Linux, Mac","2019"
"410","50-60","GNU/Linux, Mac","2019"
"411","30-40","Windows, GNU/Linux, Mac","2019"
"412","40-50","Mac","2019"
"413","30-40","Windows, GNU/Linux","2019"
"414","18-30","Windows","2019"
"415","30-40","GNU/Linux, Mac","2019"
"416","30-40","GNU/Linux","2019"
"417",">60","Windows, GNU/Linux","2019"
"418",">60","GNU/Linux","2019"
"419","40-50","GNU/Linux, Mac","2019"
"420","40-50","GNU/Linux, *BSD","2019"
"421","30-40","Windows, GNU/Linux","2019"
"422",">60","GNU/Linux","2020"
"423",">60","GNU/Linux, Mac","2020"
"424",">60","GNU/Linux","2020"
"425",">60","GNU/Linux","2020"
"426",">60","GNU/Linux","2020"
"427",">60","GNU/Linux","2020"
"428",">60","Windows, GNU/Linux","2020"
"429",">60","GNU/Linux","2020"
"430",">60","Mac","2020"
"431",">60","GNU/Linux","2020"
"432",">60","GNU/Linux","2020"
"433",">60","GNU/Linux","2020"
"434",">60","GNU/Linux","2020"
"435",">60","GNU/Linux","2020"
"436",">60","Windows, GNU/Linux","2020"
"437",">60","GNU/Linux","2020"
"438",">60","Mac","2020"
"439",">60","GNU/Linux","2020"
"440",">60","Windows, GNU/Linux","2020"
"441",">60","GNU/Linux","2020"
"442",">60","GNU/Linux","2020"
"443",">60","GNU/Linux","2020"
"444","18-30","GNU/Linux","2020"
"445","18-30","Windows, GNU/Linux, Mac","2020"
"446","18-30","Windows, GNU/Linux","2020"
"447","18-30","Mac","2020"
"448","18-30","Windows","2020"
"449","18-30","Windows, GNU/Linux","2020"
"450","18-30","Windows, GNU/Linux","2020"
"451","18-30","GNU/Linux","2020"
"452","18-30","GNU/Linux","2020"
"453","18-30","Windows, GNU/Linux","2020"
"454","18-30","GNU/Linux","2020"
"455","18-30","GNU/Linux","2020"
"456","18-30","GNU/Linux, *BSD","2020"
"457","18-30","Mac","2020"
"458","18-30","GNU/Linux","2020"
"459","18-30","GNU/Linux, *BSD","2020"
"460","18-30","Mac","2020"
"461","18-30","GNU/Linux","2020"
"462","18-30","Windows, GNU/Linux","2020"
"463","18-30","GNU/Linux","2020"
"464","18-30","GNU/Linux","2020"
"465","18-30","Windows","2020"
"466","30-40","GNU/Linux","2020"
"467","30-40","GNU/Linux","2020"
"468","30-40","Windows","2020"
"469","30-40","Mac","2020"
"470","30-40","GNU/Linux","2020"
"471","30-40","GNU/Linux","2020"
"472","30-40","GNU/Linux","2020"
"473","30-40","GNU/Linux","2020"
"474","30-40","GNU/Linux","2020"
"475","30-40","GNU/Linux","2020"
"476","30-40","GNU/Linux","2020"
"477","30-40","GNU/Linux, Mac","2020"
"478","30-40","GNU/Linux, Mac","2020"
"479","30-40","GNU/Linux, Mac","2020"
"480","30-40","GNU/Linux, Mac","2020"
"481","30-40","GNU/Linux","2020"
"482","30-40","GNU/Linux","2020"
"483","30-40","GNU/Linux, Mac","2020"
"484","30-40","GNU/Linux","2020"
"485","30-40","GNU/Linux","2020"
"486","30-40","GNU/Linux","2020"
"487","30-40","GNU/Linux","2020"
"488","30-40","Mac","2020"
"489","30-40","GNU/Linux, QubesOS","2020"
"490","30-40","GNU/Linux, Mac","2020"
"491","30-40","GNU/Linux","2020"
"492","30-40","GNU/Linux","2020"
"493","30-40","Windows, GNU/Linux","2020"
"494","30-40","GNU/Linux","2020"
"495","30-40","Windows, GNU/Linux","2020"
"496","30-40","GNU/Linux","2020"
"497","30-40","GNU/Linux","2020"
"498","30-40","GNU/Linux","2020"
"499","30-40","GNU/Linux","2020"
"500","30-40","GNU/Linux, Mac","2020"
"501","30-40","Windows, GNU/Linux","2020"
"502","30-40","GNU/Linux, Mac","2020"
"503","30-40","GNU/Linux","2020"
"504","30-40","GNU/Linux","2020"
"505","30-40","GNU/Linux","2020"
"506","30-40","Mac","2020"
"507","30-40","Windows, GNU/Linux","2020"
"508","30-40","GNU/Linux","2020"
"509","30-40","I am not a Raku programmer","2020"
"510","40-50","Windows, GNU/Linux","2020"
"511","40-50","GNU/Linux, Mac, *BSD","2020"
"512","40-50","Windows, GNU/Linux","2020"
"513","40-50","Windows, GNU/Linux","2020"
"514","40-50","Windows, GNU/Linux","2020"
"515","40-50","GNU/Linux","2020"
"516","40-50","Windows, GNU/Linux","2020"
"517","40-50","Mac","2020"
"518","40-50","GNU/Linux","2020"
"519","40-50","FreeBSD","2020"
"520","40-50","GNU/Linux","2020"
"521","40-50","GNU/Linux","2020"
"522","40-50","Windows, GNU/Linux, *BSD","2020"
"523","40-50","Windows, GNU/Linux","2020"
"524","40-50","GNU/Linux","2020"
"525","40-50","GNU/Linux, Mac","2020"
"526","40-50","GNU/Linux, Mac","2020"
"527","40-50","GNU/Linux","2020"
"528","40-50","Windows, GNU/Linux","2020"
"529","40-50","GNU/Linux","2020"
"530","40-50","Windows, GNU/Linux, Mac","2020"
"531","40-50","GNU/Linux, *BSD","2020"
"532","40-50","Windows, Mac","2020"
"533","40-50","Windows, GNU/Linux","2020"
"534","40-50","Mac","2020"
"535","40-50","Windows, GNU/Linux","2020"
"536","40-50","Windows, GNU/Linux, Mac","2020"
"537","40-50","GNU/Linux, Mac","2020"
"538","40-50","GNU/Linux","2020"
"539","40-50","GNU/Linux","2020"
"540","40-50","GNU/Linux","2020"
"541","40-50","Windows, GNU/Linux","2020"
"542","40-50","Windows, GNU/Linux","2020"
"543","40-50","Windows, GNU/Linux","2020"
"544","40-50","GNU/Linux","2020"
"545","40-50","GNU/Linux","2020"
"546","40-50","GNU/Linux","2020"
"547","40-50","GNU/Linux","2020"
"548","40-50","GNU/Linux","2020"
"549","40-50","GNU/Linux","2020"
"550","40-50","Windows","2020"
"551","40-50","GNU/Linux","2020"
"552","40-50","GNU/Linux","2020"
"553","40-50","GNU/Linux, Mac","2020"
"554","40-50","GNU/Linux","2020"
"555","40-50","Windows, GNU/Linux","2020"
"556","40-50","GNU/Linux","2020"
"557","40-50","Mac","2020"
"558","40-50","GNU/Linux, *BSD","2020"
"559","40-50","GNU/Linux","2020"
"560","40-50","Windows, GNU/Linux","2020"
"561","40-50","Windows, GNU/Linux","2020"
"562","40-50","Windows, GNU/Linux, Mac","2020"
"563","40-50","Windows, GNU/Linux","2020"
"564","40-50","Windows, GNU/Linux, Mac, ARM","2020"
"565","40-50","Windows, GNU/Linux, Mac","2020"
"566","40-50","Mac","2020"
"567","50-60","Windows","2020"
"568","50-60","GNU/Linux","2020"
"569","50-60","Windows, GNU/Linux","2020"
"570","50-60","GNU/Linux","2020"
"571","50-60","Mac","2020"
"572","50-60","Windows, GNU/Linux, Mac","2020"
"573","50-60","Windows","2020"
"574","50-60","Mac, *BSD","2020"
"575","50-60","GNU/Linux","2020"
"576","50-60","GNU/Linux","2020"
"577","50-60","GNU/Linux, Mac","2020"
"578","50-60","Windows, GNU/Linux","2020"
"579","50-60","GNU/Linux, *BSD","2020"
"580","50-60","GNU/Linux","2020"
"581","50-60","GNU/Linux","2020"
"582","50-60","GNU/Linux","2020"
"583","50-60","Windows, GNU/Linux, Mac","2020"
"584","50-60","Mac","2020"
"585","50-60","GNU/Linux, Mac","2020"
"586","50-60","Windows","2020"
"587","50-60","GNU/Linux","2020"
"588","50-60","Windows, GNU/Linux","2020"
"589","50-60","GNU/Linux, Mac","2020"
"590","50-60","GNU/Linux, Mac","2020"
"591","50-60","Mac","2020"
"592","50-60","GNU/Linux","2020"
"593","50-60","Windows, GNU/Linux","2020"
"594","50-60","GNU/Linux","2020"
"595","50-60","GNU/Linux","2020"
"596","50-60","GNU/Linux","2020"
"597","","Mac","2020"
